modeling_row_id,sentiment_negative,sentiment_neutral,sentiment_positive
0,0.37784305,0.5951896,0.026967311
1,0.8380458,0.14061852,0.021335607
2,0.07896289,0.4355318,0.48550534
3,0.19755161,0.39430013,0.40814823
4,0.12634732,0.57247436,0.30117834
5,0.13481453,0.22409852,0.64108694
6,0.6504847,0.29943743,0.0500779
7,0.6823583,0.28850228,0.029139426
8,0.11660492,0.73582953,0.14756556
9,0.31464916,0.5387215,0.14662942
10,0.82336175,0.14594033,0.03069797
11,0.672606,0.3066694,0.020724589
12,0.8209006,0.14772598,0.03137339
13,0.09858351,0.30539775,0.5960188
14,0.8051503,0.1649463,0.0299034
15,0.1570267,0.49662277,0.34635058
16,0.05718041,0.21173146,0.7310881
17,0.06499211,0.56113356,0.3738743
18,0.17708072,0.49263406,0.3302853
19,0.07847804,0.36347944,0.5580425
20,0.15041624,0.39378366,0.45580012
21,0.8526384,0.1286664,0.018695159
22,0.10226262,0.42297077,0.47476658
23,0.8186881,0.15657604,0.024735928
24,0.6593541,0.2759621,0.06468379
25,0.7795448,0.19732198,0.023133283
26,0.7410758,0.22283983,0.03608432
27,0.26279294,0.643196,0.09401118
28,0.78616685,0.1746035,0.039229564
29,0.5280065,0.40576926,0.06622425
30,0.53352135,0.3093972,0.15708147
31,0.11663569,0.29632843,0.5870359
32,0.33830333,0.43835533,0.22334129
33,0.620034,0.28086624,0.09909974
34,0.16577397,0.3977766,0.4364495
35,0.85533535,0.1245741,0.020090602
36,0.88356197,0.10018463,0.01625343
37,0.19073865,0.4383827,0.37087864
38,0.09785276,0.39636505,0.50578225
39,0.6379595,0.33994728,0.022093289
40,0.076402575,0.29277763,0.63081986
41,0.597399,0.38158926,0.02101181
42,0.27834207,0.2937265,0.4279315
43,0.27443415,0.50787556,0.2176903
44,0.2574021,0.67285323,0.069744654
45,0.1668406,0.6974957,0.13566366
46,0.6845384,0.26682708,0.04863446
47,0.08693304,0.32602274,0.5870442
48,0.08798052,0.41574097,0.49627846
49,0.3529963,0.5752889,0.07171477
50,0.83141047,0.14009048,0.02849914
51,0.20983979,0.53213656,0.25802368
52,0.07859625,0.34055236,0.5808514
53,0.20819011,0.63370275,0.1581071
54,0.32181802,0.43846363,0.23971836
55,0.12615444,0.37255874,0.50128675
56,0.10601088,0.2650056,0.6289835
57,0.09288849,0.4391062,0.46800533
58,0.1170373,0.81667686,0.066285826
59,0.17284094,0.5702925,0.2568665
60,0.6547824,0.26220423,0.083013445
61,0.27483237,0.67701334,0.0481543
62,0.15600911,0.53564924,0.30834162
63,0.8068141,0.16002896,0.033157006
64,0.36105177,0.5282839,0.11066439
65,0.73535967,0.2271382,0.037502095
66,0.8495521,0.12748028,0.022967638
67,0.41784462,0.29400906,0.2881463
68,0.4189403,0.44765377,0.13340591
69,0.4508956,0.50300384,0.046100575
70,0.77193487,0.19492145,0.033143703
71,0.341276,0.5347914,0.123932615
72,0.8385805,0.13739002,0.024029456
73,0.8755031,0.09971023,0.024786599
74,0.1342173,0.5550885,0.3106942
75,0.44504288,0.37979034,0.1751668
76,0.6992409,0.27513322,0.025625879
77,0.8919001,0.09187956,0.016220277
78,0.097695135,0.32236654,0.5799383
79,0.68408364,0.22992517,0.08599121
80,0.14348319,0.46451938,0.3919974
81,0.12974386,0.5052353,0.36502087
82,0.15618372,0.40002862,0.4437877
83,0.16210249,0.74631226,0.09158523
84,0.3327779,0.32859713,0.33862498
85,0.15177242,0.77687865,0.071348935
86,0.82904685,0.13570662,0.035246473
87,0.8358445,0.14140333,0.022752224
88,0.19504383,0.5063426,0.29861358
89,0.13890766,0.33285856,0.5282338
90,0.25266084,0.64331836,0.10402086
91,0.17899182,0.41916054,0.4018477
92,0.4280469,0.37263325,0.19931988
93,0.24381925,0.3487867,0.40739402
94,0.0854862,0.7061887,0.20832501
95,0.24238983,0.6104989,0.14711128
96,0.7851758,0.18186265,0.0329615
97,0.1286924,0.49341768,0.37788984
98,0.2016597,0.66907305,0.1292673
99,0.38335645,0.3322764,0.28436714
