variable,category,records,share
priority,low,5894,0.2061776331899115
priority,medium,11515,0.402805471018295
priority,high,11178,0.3910168957917935
queue,Technical Support,8362,0.2925105817329555
queue,Product Support,5252,0.18371987266939518
queue,Customer Service,4268,0.14929863224542625
queue,IT Support,3433,0.12008955119459894
queue,Billing and Payments,2788,0.09752684786791199
queue,Returns and Exchanges,1437,0.05026760415573513
queue,Service Outages and Maintenance,1148,0.04015811382796376
queue,Sales and Pre-Sales,918,0.032112498688214926
queue,Human Resources,576,0.020149018784762305
queue,General Inquiry,405,0.014167278833035996
type,Incident,11466,0.40109140518417463
type,Request,8187,0.28638891803966837
type,Problem,6012,0.21030538356595654
type,Change,2922,0.10221429321020044
language,en,16338,0.5715185224052891
language,de,12249,0.4284814775947109
version,400,18599,0.6506104173225592
version,52,9119,0.31899114982334625
version,51,869,0.030398432854094517
