semantic_group_id,records,distinct_priorities,priority_labels,distinct_types,distinct_queues,distinct_languages
00296153b99fdb52830ccb27aad717dd42ab2676,2,2,high | low,1,2,1
00d16b37b8809f78832cfd66a9c3c0e2f96d56c8,2,2,high | medium,1,2,1
00ebfa4f08998ac6d920b0306f7343bb40d16c22,3,2,high | medium,1,2,1
049613c4720c971001a9c8c4e637f98459cdcf42,2,2,low | medium,1,2,1
04fc304f1daff30371dd8766addfd39d7d5ebea9,2,2,high | medium,1,2,1
059624537aa17927fdd106c2dbdd4161ff373c77,5,2,high | medium,1,3,1
07fe773894d9fb4cb2c4dd22073eea3d25127e37,4,2,high | medium,1,2,1
08ec5ff6db93dd9308557ff7c4fb87f5f6691100,2,2,low | medium,1,2,1
0c2079bf65ab9f400fcfd1ce48c76111ea2cde06,3,2,high | low,1,1,1
0c7c9b1940f3c57019bc028ce3b93f526696dc24,2,2,high | low,1,2,1
0cc1dbbd2bbc1d0557605700e1283fe8698f2282,2,2,low | medium,1,2,1
0e34c29b9091e8ca47bf097eb0d3afa7afd645ba,2,2,high | medium,1,2,1
0f33ad65997f9dadde424165aa1178178a90dcdf,6,2,low | medium,1,3,1
101d3a7db3682fbd57419da0f420c3951e2e4952,3,2,high | low,1,2,1
10c2f3b10da52fdfee1a7de5dc5ea839c601e430,3,2,high | low,1,2,1
13e26c99f6360cca8e499fcbca47921f22e8b1c7,4,2,high | low,1,2,1
153115d895430775f76ae22d119a9e13656e4fd0,3,2,high | low,1,2,1
17e95001a485f9c149972c6ef88c9d0814e4cb92,2,2,low | medium,1,2,1
1ccedfa1cd0a219e38fe05f655302bff3703be13,2,2,high | medium,1,2,1
23484b499d7eee2b8b57706d7f86b13059806448,2,2,high | medium,1,2,1
24c60d0de2e40996ac83165eec3c63c6991a58c7,2,2,high | medium,1,2,1
2789b95ca47818e88e263d69fd76d8564b8bda79,2,2,high | low,2,2,1
294b757bac069a621678d5a8dcf985dd004b459f,2,2,high | medium,2,2,1
294d49855a980c0845132c3a5416a801e44994fe,3,2,low | medium,1,2,2
2be6ad2fa38d182b2b68c82e5359c65a5639dada,3,2,high | medium,1,2,1
2ed0c6d1388ec70714f35793b20fe55a32d028e0,3,3,high | low | medium,1,2,1
2ef4a7bb0686a46e775e4aca20aedd72ff208a34,3,2,low | medium,1,1,1
2fc07bb15d4a52440fcd5c6117e998dfc046113c,2,2,low | medium,1,2,1
3194e5013ce0866e0314aca2cee583c4f25f0305,3,2,high | medium,1,3,1
31efd7c3068f76a9832cd5c706c4a442f4a51bd0,2,2,high | medium,2,2,1
33593c1b055a156a0f93f7077842b93501973ede,2,2,low | medium,1,1,1
3516c33f480d0a9d8e37a9630ae97ad5c1a736e7,2,2,low | medium,1,2,1
35ac008941462e0b4bc0bb5771345785a5af9161,2,2,high | low,1,1,1
366e7df4f88af0169c7051f1abb5062ba904c150,2,2,low | medium,1,1,1
389a221a09c199b1b9b07cfa05e55554489bdd85,3,2,high | low,1,2,1
3e09e1229ad056a6b1829aa99ee0614d59137f0d,2,2,high | medium,1,1,1
435a4ac030a7de69402ada55b2260dbd6235f4df,2,2,low | medium,1,2,1
471b957bdce5851e5c2928534803dcba01d2bcae,2,2,low | medium,1,2,1
4963ea63dd9dc2f2e5e2684aa11bfbd6e831c63f,2,2,high | medium,1,2,1
4ddff3a9fb4ec0db0343cf91837c6532ee487185,6,2,high | medium,1,3,1
524963512d7f2a1374758e1acafd7578d19d7573,4,3,high | low | medium,1,3,1
55a8854affe593bebebc37214f448d87e7ed767c,3,2,high | medium,1,2,1
570f5d6c4939902e4d715ce5eeda4f8415d152b3,2,2,high | medium,1,2,1
5b361ccf323ada61f73ce414c24d500a7bb1bfff,2,2,high | low,1,2,1
5d37a7a4ccdcae4cb665cebb5bd95568b9d07777,2,2,high | low,1,2,1
5f10ff298c29e48e825cf30bee6afda68bc86ce5,3,2,low | medium,1,2,1
5f1fe5f92ed0d87216764f6d582c15f7d57d523b,2,2,high | low,1,2,1
5f9aa03bc73244495e3b80e99c590db3bec0e431,3,2,high | medium,1,2,1
628f29563d42e08bfcf7171dbea04f67f763459b,3,2,high | medium,1,1,1
66643c8dbb0a13d4f86ecbd25be30f69cd888180,3,2,low | medium,1,2,1
6d06544844da1be4f990336c855e95a38075a19c,2,2,low | medium,1,2,1
724eb3d703a0815855b615392f1790c0ef643cd6,2,2,high | medium,1,2,1
739ec29ee894d50a9343792f70f67fd30efde894,2,2,high | low,1,1,1
76c1d3e10e013d212746e7a760df892cd26d8985,3,2,low | medium,1,2,1
791b57c3937875c8b48815c545885d1fb8744c8b,4,3,high | low | medium,1,4,1
794025bead0dad9b98d0d1c795178f938d1a88f7,2,2,low | medium,1,2,1
7c951a19291034300da4d9b32275360a7240a518,2,2,low | medium,1,2,1
7d65f7f34b1bc513b31cfa05186dd2a07408daba,3,3,high | low | medium,1,3,1
81a5ebc6fdc41032561c9142a4ed214512313697,2,2,high | medium,1,2,1
873eb6fd489335821ebc2d9edd8f620dc6f979f7,5,2,high | medium,1,2,1
87609919315b84f483c4d13bcf2d193474e4eb3b,2,2,high | medium,1,2,1
8848fbf47604957bcb3a664b1b6906b6ee2f5cec,2,2,high | low,1,2,1
88b726d008757011ced20857ad1ee99973bcf8a4,6,3,high | low | medium,1,4,1
8c28b6b9b7307a5171bb3e23ed3342f49b1876d4,2,2,high | medium,2,2,1
8c8510c82e8d83f4db7b698c392e210756575d7a,4,2,high | medium,1,2,1
8c9a10c37690df824d539d7312a0b585a5a95798,2,2,high | medium,1,2,1
8fa36f9f6885d1c10110869fdb5f37e8a751b22c,2,2,high | medium,1,2,1
943643ebd0a6571e349a4d5abae993217fd9fb3c,3,3,high | low | medium,1,2,1
9657fd9b9c85a89900d822a77108d866b7e859f1,4,2,high | low,1,2,1
993283b964cec0631c55d5eee618d0f85398cc82,3,2,low | medium,2,2,1
99f7b0145d75f6220b2b465cd15ef80f7febf3ca,2,2,low | medium,1,1,1
9a3b8af78eb40822fb8fe004a5389fa750323224,2,2,high | medium,1,2,1
9faaa3ecd78a208b62d3a4428b4e275369368339,2,2,low | medium,1,2,1
a36180e382509a6eaf3fdc1813602805409f6cc0,2,2,low | medium,1,2,1
a6c1a52def9f234f117900e355495492b4db5941,2,2,high | low,1,1,1
a731c38030525c6f01ba397a99067e67c3e5670c,2,2,high | medium,1,2,1
a9539102fbc59abe0ce86edf1f78397f825337d5,2,2,low | medium,1,2,1
a9fc1f436a7cae75862100e2d1d31754a1def1c2,4,2,low | medium,1,2,1
aa4754cde34c65beada81de406a3f4a736c1f005,4,2,high | medium,1,3,1
aa74dbf544b9b8016c5373b600d8c2d3d5df5622,2,2,high | low,1,2,1
aacb544ccca1079dd5d31257f4d05e8dd0e0f6e0,3,2,low | medium,1,2,1
acb15dc3dc8e711b7f9551e83d8288aea9ff4ce7,2,2,low | medium,1,2,1
acd2b9ce910354ca009a76be7db77d341ef14d60,3,2,high | low,1,2,1
b06c33a3e93bf712f96ce7458754abc2459e05b2,2,2,low | medium,1,2,1
b87e820b7ecf6ada7a194df371a7a3acec4f3b33,2,2,low | medium,1,2,1
c0273ca98a5e7885a94a7f2f016287bded4f9284,3,2,high | low,2,2,1
c0390e2a0e691bc3c9090da59706dff1d743e612,2,2,high | low,1,1,1
c28b4ae5cc2a904eddb392552e5e845c91f6904b,3,2,high | low,1,2,1
c529e2924f600aeb9f94d701557d62ac74cc443d,2,2,high | medium,1,2,1
cc0bdb5c7aceedfd1448ed974796fbb6630efce4,2,2,high | medium,1,2,1
cdc62175226af998acf19f7a2e43998609d69571,3,2,low | medium,1,2,1
cfdfb9acca41fa306e8a50cf10db108103bbeddb,2,2,low | medium,1,1,1
db5c0d8a271f77a759626d1875a85ffbcbbcb809,2,2,low | medium,1,1,1
dc0266cf862de2dfba84c440bb6c6bd6f3d1c8e5,2,2,high | low,1,2,1
e75303d03909b59cebfecc7f02af12a47b2761a1,2,2,low | medium,1,2,1
e8f8cef956df07a8304f268ed2722760b295a332,2,2,high | medium,1,1,1
eb0aa4fdce6593850fa5fb039c5d8aa4f817729b,2,2,high | medium,1,2,1
ede5315f3b0fd7fd31907481e63e51c69c93ebdb,2,2,high | medium,1,2,1
f016f9287cd2c0620abd76db2db04ffe5600061e,4,2,high | medium,1,2,1
f4607d6ee5d684adc51d0ba8736f5460966a38f8,2,2,low | medium,1,2,1
f4ecce365f7784f70162a86c4d5e8ab94434ef0b,2,2,high | medium,1,2,1
