feature_set,features,model,model_family,priority,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std
FS1,Text,complement_naive_bayes,probabilistic,high,0.5190067796567871,0.005148386701956384,0.5822900993927149,0.020021657763797582,0.548685997753398,0.009173382440455655
FS1,Text,complement_naive_bayes,probabilistic,low,0.33639073952632154,0.007821351194024115,0.33715702001980996,0.010430998051162974,0.3367339789929584,0.008270370562171522
FS1,Text,complement_naive_bayes,probabilistic,medium,0.49155599109850606,0.009362280892662748,0.4325733887537491,0.017230257467871154,0.4599772263933583,0.010180531553630655
FS1,Text,knn_cosine,instance_based,high,0.5538516533488597,0.00706550513372678,0.5890073324138312,0.015160062566105552,0.5707419575448588,0.004899454379737825
FS1,Text,knn_cosine,instance_based,low,0.44565717719456666,0.009765173593312856,0.31994309708017177,0.015036247810160358,0.3722627824928529,0.01004322495513064
FS1,Text,knn_cosine,instance_based,medium,0.5268431590878322,0.009057738733655809,0.5699234229978981,0.009775507620375984,0.5474413439537276,0.004669545285308266
FS1,Text,lightgbm,gradient_boosting,high,0.5515016062865699,0.00468079555419578,0.5829608012578088,0.01882732682355575,0.5666994196807785,0.010431570378109899
FS1,Text,lightgbm,gradient_boosting,low,0.44100417756532834,0.01767104045133553,0.23688107921509166,0.011012745058126902,0.30813634693295916,0.012545679842985382
FS1,Text,lightgbm,gradient_boosting,medium,0.49712464852533067,0.011410884154592358,0.5869817915594078,0.009364904948044553,0.5382249476002016,0.006843763131939269
FS1,Text,linear_svm,linear,high,0.5460987960011116,0.006973674880845814,0.5550850957299546,0.01795630132477059,0.5504576707144145,0.010572416637198129
FS1,Text,linear_svm,linear,low,0.3731880650309196,0.01483804573511971,0.34055607825618045,0.012943670534888114,0.3561097534822947,0.013577722641440233
FS1,Text,linear_svm,linear,medium,0.49824222053066186,0.012896717100854454,0.5124424934463784,0.015241251229156918,0.5051769255887143,0.012554772841799637
FS1,Text,logistic_regression,linear_baseline,high,0.5472891620756096,0.008805551359064774,0.5399715250931983,0.022745651889665992,0.5434601228149025,0.014044969694621087
FS1,Text,logistic_regression,linear_baseline,low,0.36896351237823494,0.010532842684681572,0.38092263053037945,0.014088614270580013,0.374828397116041,0.012005336741921448
FS1,Text,logistic_regression,linear_baseline,medium,0.5017573262275568,0.014810458917863721,0.4997286446402002,0.010337121658730608,0.5006451841665298,0.0101902026473436
FS1,Text,random_forest,bagging_ensemble,high,0.5572155837212771,0.008071799700523618,0.5470213204611382,0.01703584201250208,0.5519737912675572,0.01075988638287505
FS1,Text,random_forest,bagging_ensemble,low,0.4546801970559299,0.023298110404584883,0.21945687268592162,0.009416523152855011,0.2959509518254445,0.01246786317978449
FS1,Text,random_forest,bagging_ensemble,medium,0.4838279363550522,0.005987750580708735,0.620231679380299,0.010849358953988494,0.5435556396207561,0.005710041275896282
FS1,Text,xgboost,gradient_boosting,high,0.5367597065313066,0.010209076566456657,0.5450050163210596,0.016919569666978246,0.540731855819471,0.010778744426332308
FS1,Text,xgboost,gradient_boosting,low,0.4528838216453461,0.029917760744452574,0.10686129180006813,0.01046116323942867,0.17260527723453406,0.013787080362583415
FS1,Text,xgboost,gradient_boosting,medium,0.46483995767345254,0.004851139827849977,0.6392456250147605,0.01397041100817643,0.53822792019115,0.007113744722613804
FS2,Text + type,complement_naive_bayes,probabilistic,high,0.5137113610362073,0.0039893530164868095,0.5850894634698404,0.019814504925296503,0.5469648611140773,0.009445098350683079
