feature_set,features,model,model_family,mean_macro_f1,std_macro_f1,mean_weighted_f1,std_weighted_f1,mean_accuracy,std_accuracy,mean_macro_precision,mean_macro_recall,feature_rank,delta_vs_fs1,delta_vs_previous,best_params
FS5,Text + type + language + queue + sentiment,lightgbm,gradient_boosting,0.5329635395193693,0.009737814525519688,0.5592180134779823,0.008909234428906766,0.5668511164384962,0.009032485423041291,0.5568566302429256,0.5270915653741681,4,0.061943301448056154,0.00019305025797167197,"{""classifier__min_child_samples"": 10, ""classifier__num_leaves"": 63, ""classifier__reg_lambda"": 0.0}"
FS4,Text + type + language + queue,lightgbm,gradient_boosting,0.5327704892613976,0.005859476942423107,0.5595409977885577,0.005913076147894793,0.5674638172942146,0.0063093101941779075,0.5571347052542948,0.5270676308147282,3,0.06175025119008448,0.059285465973531404,"{""classifier__min_child_samples"": 10, ""classifier__num_leaves"": 63, ""classifier__reg_lambda"": 0.0}"
FS4,Text + type + language + queue,random_forest,bagging_ensemble,0.5255215936670241,0.00920794251930827,0.5530868818655528,0.00772805623431531,0.5623844712645724,0.007288528389625697,0.5552118806278048,0.5199519252876675,3,0.061694799429104885,0.058015283430006226,"{""classifier__class_weight"": ""balanced_subsample"", ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 2}"
FS5,Text + type + language + queue + sentiment,random_forest,bagging_ensemble,0.5234535113517164,0.010706622379359581,0.5516315939101686,0.008911441304226475,0.5616840417341366,0.0078731910854654,0.5570133965710822,0.5179160587647992,4,0.059626717113797134,-0.002068082315307751,"{""classifier__class_weight"": ""balanced_subsample"", ""classifier__max_depth"": null, ""classifier__min_samples_leaf"": 2}"
FS4,Text + type + language + queue,knn_cosine,instance_based,0.5183844233734238,0.006534914273798155,0.5432846737015098,0.003923844916830161,0.552097535414432,0.003469319665258486,0.5471092678308569,0.5129930709402677,3,0.02156906204294401,0.049721590189856335,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}"
FS5,Text + type + language + queue + sentiment,logistic_regression,linear_baseline,0.5175091784389853,0.007360334277736924,0.5334687223562355,0.0065694528886542265,0.5329223191029312,0.006449501429087163,0.5164791956027517,0.5188861988828494,4,0.044531277073160846,0.00011094705400616078,"{""classifier__C"": 10.0, ""classifier__class_weight"": ""balanced""}"
FS4,Text + type + language + queue,logistic_regression,linear_baseline,0.5173982313849791,0.008619789411006802,0.53330985943367,0.008035947241424637,0.5328790633458549,0.007947865498265904,0.5165738593743769,0.518505516129303,3,0.044420330019154686,0.04427270184456639,"{""classifier__C"": 10.0, ""classifier__class_weight"": ""balanced""}"
FS5,Text + type + language + queue + sentiment,knn_cosine,instance_based,0.5169866041658819,0.010501329039789325,0.5409743561625087,0.010333074533548899,0.5494710535211429,0.009740856869774935,0.54628214876276,0.5109516093600657,4,0.020171242835402114,-0.001397819207541895,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}"
FS4,Text + type + language + queue,linear_svm,linear,0.5168878211699612,0.01003872689598883,0.5359951395028261,0.009843999999703815,0.5375634822894483,0.00994818087936574,0.5187037743649026,0.5157254561435121,3,0.04630637124148679,0.04620858826119034,"{""classifier__C"": 1.0, ""classifier__class_weight"": ""balanced""}"
FS5,Text + type + language + queue + sentiment,linear_svm,linear,0.5159710406158198,0.010191513196146343,0.5350725277666006,0.009854379522558025,0.5366442438811581,0.009902243021413518,0.517820920867973,0.514775584438782,4,0.04538959068734533,-0.0009167805541414609,"{""classifier__C"": 1.0, ""classifier__class_weight"": ""balanced""}"
FS5,Text + type + language + queue + sentiment,xgboost,gradient_boosting,0.49781533513958776,0.00930597535537124,0.5346909003601203,0.009495849548095459,0.5513082370282026,0.009870719276158998,0.549754798135961,0.49689574970004635,4,0.08062698405786939,0.002753339406862121,"{""classifier__max_depth"": 7, ""classifier__min_child_weight"": 1, ""classifier__reg_lambda"": 10.0}"
FS1,Text,knn_cosine,instance_based,0.4968153613304798,0.001649194601664571,0.5204547741674721,0.002189660957482206,0.5258739909081387,0.0031287140395399454,0.5087839965437528,0.4929579508306336,0,0.0,,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}"
FS4,Text + type + language + queue,xgboost,gradient_boosting,0.49506199573272563,0.008197731080999969,0.5322934752326546,0.008461862870953506,0.5491197371086367,0.008692895424625433,0.5459766005587384,0.4945332821008811,3,0.07787364465100727,0.07871952455419085,"{""classifier__max_depth"": 7, ""classifier__min_child_weight"": 1, ""classifier__reg_lambda"": 10.0}"
FS4,Text + type + language + queue,complement_naive_bayes,probabilistic,0.48033546348566,0.005298891588440537,0.49852166736148673,0.004807141146565681,0.5021453114251634,0.005124411203669891,0.48096962294326184,0.4835585303848042,3,0.031869729105755085,0.03458225974530782,"{""classifier__alpha"": 0.05}"
FS2,Text + type,knn_cosine,instance_based,0.4798361106815573,0.00556319135329007,0.5004422883606068,0.0009069054787362327,0.5080999595619535,0.005524832588526059,0.5074459292377507,0.47825651476619485,1,-0.016979250648922528,-0.016979250648922528,"{""classifier__n_neighbors"": 5, ""classifier__weights"": ""distance""}"
