model,model_family,candidate_id,candidate_number,parameters,representation,search_budget,mean_macro_f1,fold_sd_macro_f1,mean_weighted_f1,mean_accuracy,mean_macro_precision,mean_macro_recall,mean_fit_seconds
adaboost,boosting ensemble,adaboost__candidate_02,2,"{""base_depth"": 2, ""learning_rate"": 0.2, ""n_estimators"": 200}",shared TF-IDF text-only,2,0.2894331028582195,0.00025354473556110646,0.34614275443680564,0.4315562541396616,0.3111875252479862,0.35925269049132463,5.105460849998963
adaboost,boosting ensemble,adaboost__candidate_01,1,"{""base_depth"": 1, ""learning_rate"": 0.5, ""n_estimators"": 100}",shared TF-IDF text-only,2,0.2803058429978404,0.010145239126798322,0.335356029360236,0.4249906490941474,0.3167608279050115,0.3537176152879199,1.7513781999996354
catboost,gradient boosted trees,catboost__candidate_01,1,"{""depth"": 5, ""iterations"": 250, ""learning_rate"": 0.05}",shared TF-IDF text-only,2,0.3328621496180976,0.009184847669799379,0.3934290369137535,0.4428260951814459,0.41021203423575214,0.3724606958376466,34.57664544999989
catboost,gradient boosted trees,catboost__candidate_02,2,"{""depth"": 7, ""iterations"": 350, ""learning_rate"": 0.03}",shared TF-IDF text-only,2,0.33275055502718087,0.011729285304979381,0.39234422703363014,0.4401997238549391,0.39785745767710645,0.37076562459538726,177.22425120000025
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_01,1,"{""alpha"": 0.5}",shared TF-IDF text-only,2,0.3983990951830218,0.006798792043879454,0.42883366214947116,0.4377933203162977,0.40628739058199526,0.3994102298281276,0.37443044999963604
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_02,2,"{""alpha"": 1.0}",shared TF-IDF text-only,2,0.38721652041504095,0.002980721392880609,0.42462440062996765,0.44162328852082317,0.4062529672982807,0.3931015641923509,0.36299254999903496
decision_tree,single tree,decision_tree__candidate_02,2,"{""max_depth"": 40, ""min_samples_leaf"": 3}",shared TF-IDF text-only,2,0.3478113498459947,0.006342266374418537,0.37768287227278535,0.40474841633250047,0.3728854206842712,0.36395644175201214,0.8050541499997053
decision_tree,single tree,decision_tree__candidate_01,1,"{""max_depth"": 20, ""min_samples_leaf"": 5}",shared TF-IDF text-only,2,0.31984801138272434,0.0005396946492880195,0.3556550213412236,0.40803138647712944,0.3728419898587057,0.3569583199631361,0.5920341999999437
distilmbert_multilingual,transformer,distilmbert_multilingual__candidate_01,1,"{""batch_size"": 8, ""epochs"": 1, ""freeze_lower_layers"": 0, ""learning_rate"": 2e-05, ""loss"": ""standard_cross_entropy"", ""max_length"": 160, ""model_id"": ""distilbert/distilbert-base-multilingual-cased"", ""model_revision"": ""45c032ab32cc946ad88a166f7cb282f58c753c2e"", ""weight_decay"": 0.01}",multilingual DistilBERT text-only,2,0.32235164387517,0.004358547882136826,0.3836137522008961,0.43407307259990624,0.28922172816598135,0.364937864570402,2497.0359735500006
distilmbert_multilingual,transformer,distilmbert_multilingual__candidate_02,2,"{""batch_size"": 8, ""epochs"": 1, ""freeze_lower_layers"": 0, ""learning_rate"": 3e-05, ""loss"": ""standard_cross_entropy"", ""max_length"": 160, ""model_id"": ""distilbert/distilbert-base-multilingual-cased"", ""model_revision"": ""45c032ab32cc946ad88a166f7cb282f58c753c2e"", ""weight_decay"": 0.01}",multilingual DistilBERT text-only,2,0.2852330659790018,0.014836648043045908,0.33935230418954465,0.40814199296658626,0.27565503064200864,0.34325828370488154,2441.2026527000016
