model,model_family,candidate_id,candidate_number,fold,priority,precision,recall,f1,support
dummy_majority,naive baseline,dummy_majority__candidate_01,1,0,low,0.0,0.0,0.0,942
dummy_majority,naive baseline,dummy_majority__candidate_01,1,0,medium,0.40293280805427883,1.0,0.5744149765990639,1841
dummy_majority,naive baseline,dummy_majority__candidate_01,1,0,high,0.0,0.0,0.0,1786
dummy_majority,naive baseline,dummy_majority__candidate_01,1,1,low,0.0,0.0,0.0,942
dummy_majority,naive baseline,dummy_majority__candidate_01,1,1,medium,0.40284463894967176,1.0,0.5743253782561223,1841
dummy_majority,naive baseline,dummy_majority__candidate_01,1,1,high,0.0,0.0,0.0,1787
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_01,1,0,low,0.2931596091205212,0.1910828025477707,0.23136246786632392,942
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_01,1,0,medium,0.4445606694560669,0.4617055947854427,0.4529709565680789,1841
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_01,1,0,high,0.45961820851688695,0.5257558790593505,0.4904674849830243,1786
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_01,1,1,low,0.30944625407166126,0.20169851380042464,0.2442159383033419,942
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_01,1,1,medium,0.45863495346432265,0.48180336773492666,0.4699337748344371,1841
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_01,1,1,high,0.4723046488625124,0.5344152210408506,0.5014439485429246,1787
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_02,2,0,low,0.3127962085308057,0.14012738853503184,0.1935483870967742,942
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_02,2,0,medium,0.44260700389105057,0.49429657794676807,0.4670259173723377,1841
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_02,2,0,high,0.4562410329985653,0.5341545352743561,0.4921330925973691,1786
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_02,2,1,low,0.30455635491606714,0.13481953290870488,0.18690213392200147,942
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_02,2,1,medium,0.4478616049975973,0.5062466051059207,0.4752677205507394,1841
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_02,2,1,high,0.4734555984555985,0.548964745383324,0.5084218709510235,1787
logistic_regression,linear,logistic_regression__candidate_01,1,0,low,0.5,0.0021231422505307855,0.004228329809725159,942
logistic_regression,linear,logistic_regression__candidate_01,1,0,medium,0.4219871552701171,0.6067354698533406,0.4977718360071301,1841
logistic_regression,linear,logistic_regression__candidate_01,1,0,high,0.45828988529718456,0.4921612541993281,0.474622030237581,1786
logistic_regression,linear,logistic_regression__candidate_01,1,1,low,0.0,0.0,0.0,942
logistic_regression,linear,logistic_regression__candidate_01,1,1,medium,0.437890625,0.6089082020640956,0.5094296750738468,1841
logistic_regression,linear,logistic_regression__candidate_01,1,1,high,0.4773067331670823,0.5355344152210408,0.504746835443038,1787
logistic_regression,linear,logistic_regression__candidate_02,2,0,low,0.32456140350877194,0.03927813163481953,0.07007575757575757,942
logistic_regression,linear,logistic_regression__candidate_02,2,0,medium,0.43028846153846156,0.5833785985877241,0.49527323034355547,1841
logistic_regression,linear,logistic_regression__candidate_02,2,0,high,0.46299132210311383,0.5078387458006719,0.4843791722296395,1786
logistic_regression,linear,logistic_regression__candidate_02,2,1,low,0.4112903225806452,0.054140127388535034,0.09568480300187618,942
logistic_regression,linear,logistic_regression__candidate_02,2,1,medium,0.44238683127572015,0.5839217816404129,0.5033949894638258,1841
logistic_regression,linear,logistic_regression__candidate_02,2,1,high,0.4756944444444444,0.5366536094012311,0.504338679989482,1787
linear_svm,linear,linear_svm__candidate_01,1,0,low,0.375,0.09554140127388536,0.15228426395939088,942
linear_svm,linear,linear_svm__candidate_01,1,0,medium,0.4375804375804376,0.5540467137425312,0.48897411313518696,1841
linear_svm,linear,linear_svm__candidate_01,1,0,high,0.46596596596596596,0.5212765957446809,0.49207188160676535,1786
linear_svm,linear,linear_svm__candidate_01,1,1,low,0.3775933609958506,0.09660297239915075,0.15384615384615385,942
