model,model_family,candidate_id,candidate_number,parameters,representation,fold,macro_f1,weighted_f1,accuracy,macro_precision,macro_recall,fit_seconds,predict_seconds
dummy_majority,naive baseline,dummy_majority__candidate_01,1,"{""strategy"": ""most_frequent""}",shared TF-IDF text-only,0,0.19147165886635464,0.23145063950949368,0.40293280805427883,0.13431093601809294,0.3333333333333333,0.36271409999972093,0.2596288000004279
dummy_majority,naive baseline,dummy_majority__candidate_01,1,"{""strategy"": ""most_frequent""}",shared TF-IDF text-only,1,0.19144179275204076,0.23136389964322124,0.40284463894967176,0.13428154631655725,0.3333333333333333,0.40931649999947695,0.2811371000007057
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_01,1,"{""alpha"": 0.5}",shared TF-IDF text-only,0,0.39160030313914235,0.4219386964218848,0.4309476909608229,0.39911282903115836,0.39284809213085464,0.37686240000039106,0.24739880000015546
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_01,1,"{""alpha"": 0.5}",shared TF-IDF text-only,1,0.40519788722690125,0.4357286278770576,0.4446389496717724,0.41346195213283216,0.4059723675254006,0.371998499998881,0.2566292000010435
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_02,2,"{""alpha"": 1.0}",shared TF-IDF text-only,0,0.3842357990221603,0.4204567734529516,0.43685708032392206,0.4038814151401405,0.38952616725205197,0.35701139999946463,0.24567220000062662
complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_02,2,"{""alpha"": 1.0}",shared TF-IDF text-only,1,0.39019724180792154,0.4287920278069837,0.44638949671772427,0.4086245194564209,0.3966769611326499,0.3689736999986053,0.28011049999986426
logistic_regression,linear,logistic_regression__candidate_01,1,"{""C"": 0.3}",shared TF-IDF text-only,0,0.32554073201814543,0.38696782288776693,0.43729481286933686,0.4600923468557672,0.36700662210106644,0.45755040000040026,0.2935094999993453
logistic_regression,linear,logistic_regression__candidate_01,1,"{""C"": 0.3}",shared TF-IDF text-only,1,0.3380588368389616,0.40259138440867853,0.4547045951859956,0.30506578605569407,0.38148087242837886,0.4720732000005228,0.27587379999931727
logistic_regression,linear,logistic_regression__candidate_02,2,"{""C"": 1.0}",shared TF-IDF text-only,0,0.3499093867163175,0.4033509700811962,0.44167213832348434,0.40594706238344913,0.37683182534107185,0.47318820000145934,0.27704850000009174
logistic_regression,linear,logistic_regression__candidate_02,2,"{""C"": 1.0}",shared TF-IDF text-only,1,0.3678061574850613,0.4197239564927516,0.4562363238512035,0.44312386610026994,0.3915718394767263,0.4626635000004171,0.27421529999992345
