screening_rank,model,model_family,candidate_id,candidate_number,parameters,representation,search_budget,mean_macro_f1,fold_sd_macro_f1,mean_weighted_f1,mean_accuracy,mean_macro_precision,mean_macro_recall,mean_fit_seconds,delta_macro_f1_vs_lr
1,linear_svm,linear,linear_svm__candidate_02,2,"{""C"": 1.0}",shared TF-IDF text-only,2,0.3997543120623877,0.003146895984585729,0.43447884290570493,0.44983065401744127,0.4239460428878645,0.4029684135910234,0.45204159999957483,0.04089653996169834
2,complement_naive_bayes,probabilistic,complement_naive_bayes__candidate_01,1,"{""alpha"": 0.5}",shared TF-IDF text-only,2,0.3983990951830218,0.006798792043879454,0.42883366214947116,0.4377933203162977,0.40628739058199526,0.3994102298281276,0.37443044999963604,0.039541323082332436
3,lightgbm,gradient boosted trees,lightgbm__candidate_02,2,"{""learning_rate"": 0.03, ""n_estimators"": 350, ""num_leaves"": 63}",shared TF-IDF text-only,2,0.3955989717479162,0.01033095124820127,0.42550796495948573,0.43319729621131464,0.4024499472072067,0.39586670221624476,7.4141618499998,0.03674119964722683
4,knn_cosine,instance based,knn_cosine__candidate_01,1,"{""n_neighbors"": 7, ""weights"": ""distance""}",shared TF-IDF text-only,2,0.39461234830572833,0.0010906327970534035,0.4248461404836131,0.4346208848231805,0.4061540632376557,0.3951888321313467,0.3790146499995899,0.03575457620503897
5,logistic_regression,linear,logistic_regression__candidate_02,2,"{""C"": 1.0}",shared TF-IDF text-only,2,0.35885777210068937,0.008948385384371899,0.41153746328697394,0.4489542310873439,0.4245354642418595,0.38420183240889905,0.4679258500009382,0.0
6,xgboost,gradient boosted trees,xgboost__candidate_02,2,"{""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 10, ""n_estimators"": 350, ""reg_lambda"": 10.0}",shared TF-IDF text-only,2,0.35566149446018214,0.0028477385466483263,0.403983869352056,0.43407292892401605,0.3856757882609988,0.374333948302787,10.079147399999783,-0.003196277640507228
7,random_forest,bagging ensemble,random_forest__candidate_02,2,"{""max_depth"": null, ""max_samples"": 0.75, ""min_samples_leaf"": 3, ""n_estimators"": 350}",shared TF-IDF text-only,2,0.34791177551671637,0.01105551821210643,0.4033545956054971,0.4445771690389951,0.4216964818284651,0.3780562855414912,2.367858399999932,-0.010945996583972994
8,decision_tree,single tree,decision_tree__candidate_02,2,"{""max_depth"": 40, ""min_samples_leaf"": 3}",shared TF-IDF text-only,2,0.3478113498459947,0.006342266374418537,0.37768287227278535,0.40474841633250047,0.3728854206842712,0.36395644175201214,0.8050541499997053,-0.011046422254694654
9,catboost,gradient boosted trees,catboost__candidate_01,1,"{""depth"": 5, ""iterations"": 250, ""learning_rate"": 0.05}",shared TF-IDF text-only,2,0.3328621496180976,0.009184847669799379,0.3934290369137535,0.4428260951814459,0.41021203423575214,0.3724606958376466,34.57664544999989,-0.02599562248259174
10,distilmbert_multilingual,transformer,distilmbert_multilingual__candidate_01,1,"{""batch_size"": 8, ""epochs"": 1, ""freeze_lower_layers"": 0, ""learning_rate"": 2e-05, ""loss"": ""standard_cross_entropy"", ""max_length"": 160, ""model_id"": ""distilbert/distilbert-base-multilingual-cased"", ""model_revision"": ""45c032ab32cc946ad88a166f7cb282f58c753c2e"", ""weight_decay"": 0.01}",multilingual DistilBERT text-only,2,0.32235164387517,0.004358547882136826,0.3836137522008961,0.43407307259990624,0.28922172816598135,0.364937864570402,2497.0359735500006,-0.03650612822551935
11,adaboost,boosting ensemble,adaboost__candidate_02,2,"{""base_depth"": 2, ""learning_rate"": 0.2, ""n_estimators"": 200}",shared TF-IDF text-only,2,0.2894331028582195,0.00025354473556110646,0.34614275443680564,0.4315562541396616,0.3111875252479862,0.35925269049132463,5.105460849998963,-0.06942466924246987
12,dummy_majority,naive baseline,dummy_majority__candidate_01,1,"{""strategy"": ""most_frequent""}",shared TF-IDF text-only,1,0.1914567258091977,1.4933057156940599e-05,0.23140726957635746,0.4028887235019753,0.13429624116732508,0.3333333333333333,0.38601529999959894,-0.16740104629149166
