model,representation,fold,priority,precision,recall,f1,support
logistic_regression,word,0,low,0.3162393162393162,0.03927813163481953,0.06987724268177525,942
logistic_regression,word,0,medium,0.43047158403869407,0.5801195002715915,0.4942156409069875,1841
logistic_regression,word,0,high,0.4627092846270928,0.5106382978723404,0.48549374500931597,1786
logistic_regression,word,1,low,0.4318181818181818,0.06050955414012739,0.10614525139664804,942
logistic_regression,word,1,medium,0.4404123711340206,0.5801195002715915,0.5007032348804501,1841
logistic_regression,word,1,high,0.4783904619970194,0.5388919977616117,0.5068421052631579,1787
logistic_regression,char,0,low,0.29411764705882354,0.058386411889596604,0.09743135518157661,942
logistic_regression,char,0,medium,0.4304274937133277,0.5578489951113526,0.4859238230423468,1841
logistic_regression,char,0,high,0.4604208416833667,0.5145576707726763,0.4859862506610259,1786
logistic_regression,char,1,low,0.3523809523809524,0.07855626326963906,0.1284722222222222,942
logistic_regression,char,1,medium,0.43306069737408526,0.5464421510048887,0.48318924111431316,1841
logistic_regression,char,1,high,0.4693176239567992,0.5349748181309457,0.5,1787
logistic_regression,word_char,0,low,0.3314285714285714,0.06157112526539278,0.10384959713518353,942
logistic_regression,word_char,0,medium,0.435117599351176,0.5828354155350353,0.4982586487114,1841
logistic_regression,word_char,0,high,0.470954356846473,0.5083986562150056,0.48896068928379105,1786
logistic_regression,word_char,1,low,0.4090909090909091,0.07643312101910828,0.12880143112701253,942
logistic_regression,word_char,1,medium,0.44040150564617314,0.5719717544812601,0.4976370510396975,1841
logistic_regression,word_char,1,high,0.4857713429855217,0.544487968662563,0.5134564643799472,1787
linear_svm,word,0,low,0.3492063492063492,0.16348195329087048,0.22270426608821403,942
linear_svm,word,0,medium,0.4464202152550304,0.5181966322650733,0.4796380090497738,1841
linear_svm,word,0,high,0.4691109994977398,0.522956326987682,0.4945724119671697,1786
linear_svm,word,1,low,0.35697399527186763,0.1602972399150743,0.22124542124542124,942
linear_svm,word,1,medium,0.44132083891120033,0.5372080391091798,0.4845663890249878,1841
linear_svm,word,1,high,0.47848898216159497,0.51035254616676,0.4939073923639318,1787
linear_svm,char,0,low,0.33877551020408164,0.1762208067940552,0.23184357541899442,942
linear_svm,char,0,medium,0.44571428571428573,0.5084193373166758,0.47500634356762245,1841
linear_svm,char,0,high,0.46589186457806975,0.5162374020156775,0.4897742363877822,1786
linear_svm,char,1,low,0.32,0.19532908704883228,0.24258404746209625,942
linear_svm,char,1,medium,0.4372568093385214,0.48832156436719176,0.46138054914036436,1841
linear_svm,char,1,high,0.46828261990716863,0.5081141578063794,0.487385936661299,1787
linear_svm,word_char,0,low,0.3606194690265487,0.173036093418259,0.23385939741750358,942
linear_svm,word_char,0,medium,0.44558139534883723,0.5203693644758284,0.4800801804059133,1841
linear_svm,word_char,0,high,0.469242501270971,0.5167973124300111,0.4918731681321609,1786
linear_svm,word_char,1,low,0.35585585585585583,0.16772823779193205,0.227994227994228,942
linear_svm,word_char,1,medium,0.4454049135577798,0.5317762085822922,0.48477345877692496,1841
linear_svm,word_char,1,high,0.4880705394190871,0.5265808617795188,0.5065948855989233,1787
complement_naive_bayes,word,0,low,0.3083623693379791,0.18789808917197454,0.23350923482849603,942
complement_naive_bayes,word,0,medium,0.4435695538057743,0.45898967952199893,0.45114789108382275,1841
complement_naive_bayes,word,0,high,0.45215311004784686,0.5291153415453528,0.48761609907120745,1786
complement_naive_bayes,word,1,low,0.30808080808080807,0.1942675159235669,0.23828125,942
complement_naive_bayes,word,1,medium,0.453030303030303,0.4872351982618142,0.46951059931954986,1841
complement_naive_bayes,word,1,high,0.4774549098196393,0.5332960268606604,0.5038329368226275,1787
complement_naive_bayes,char,0,low,0.2814814814814815,0.20169851380042464,0.23500309214594928,942
complement_naive_bayes,char,0,medium,0.4480446927374302,0.4356328082563824,0.44175158358578903,1841
complement_naive_bayes,char,0,high,0.4553231939163498,0.5363941769316909,0.49254498714652956,1786
complement_naive_bayes,char,1,low,0.27633587786259545,0.1921443736730361,0.2266750156543519,942
complement_naive_bayes,char,1,medium,0.442371020856202,0.43780554046713743,0.4400764400764401,1841
complement_naive_bayes,char,1,high,0.46392737697085523,0.5433687744823726,0.5005154639175258,1787
complement_naive_bayes,word_char,0,low,0.28842832469775476,0.17728237791932058,0.21959237343852728,942
complement_naive_bayes,word_char,0,medium,0.45060115002613693,0.46822379141770776,0.45924347362813,1841
complement_naive_bayes,word_char,0,high,0.45546461242176217,0.5296752519596865,0.4897747864354129,1786
complement_naive_bayes,word_char,1,low,0.323943661971831,0.2197452229299363,0.2618595825426945,942
complement_naive_bayes,word_char,1,medium,0.4597826086956522,0.4595328625746877,0.45965770171149145,1841
complement_naive_bayes,word_char,1,high,0.48254423720707795,0.5646334639059877,0.520371325425477,1787
