result_type,priority,metric,observed,ci_lower_95,ci_upper_95
overall_metric,all,accuracy,0.5952005605184796,0.5793932020664215,0.6105391949415206
overall_metric,all,macro_precision,0.5902875627307091,0.5720787942409515,0.6086496591567994
overall_metric,all,macro_recall,0.55269707547494,0.5373796224594116,0.5679599776864052
overall_metric,all,macro_f1,0.5596589801868707,0.5431351795792579,0.5756953313946724
overall_metric,all,weighted_f1,0.58660140243662,0.5704517781734466,0.602372644841671
class_metric,low,precision,0.5674486803519062,0.5228935867547989,0.6118328556418419
class_metric,low,recall,0.32908163265306123,0.29754302725195886,0.3611350245773792
class_metric,low,f1,0.41657696447793324,0.38260843977332115,0.4494735904037952
class_metric,medium,precision,0.5576779026217229,0.5341887637972832,0.581132160127163
class_metric,medium,recall,0.6471099521946979,0.6237619370222092,0.6709956526756287
class_metric,medium,f1,0.5990746328706498,0.5791533306241036,0.6184552267193795
class_metric,high,precision,0.6457361052184981,0.6208640620112419,0.6698826372623443
class_metric,high,recall,0.681899641577061,0.6576575845479965,0.7053617238998413
class_metric,high,f1,0.6633253432120289,0.6433717116713524,0.6827504828572273
