model,model_label,model_family,result_level,class_output,modeling_row_id,semantic_group_id,feature_group,absolute_shap_mass,share_of_total_abs_shap,mean_share,median_share,std_share
logistic_regression,Logistic Regression,linear_baseline,global_class_output,low,,,text,8.780139923095703,0.8628002685870736,0.8837516473317699,0.8841899060924862,0.05130915654663867
logistic_regression,Logistic Regression,linear_baseline,global_class_output,low,,,type,0.3469959497451782,0.0340983402612117,0.0309231996493823,0.03103922025704254,0.015786927827427768
logistic_regression,Logistic Regression,linear_baseline,global_class_output,low,,,language,0.05571500211954117,0.005474960446429952,0.008936574411288232,0.008065753465819569,0.005375501931081928
logistic_regression,Logistic Regression,linear_baseline,global_class_output,low,,,queue,0.9934787750244141,0.09762643436602533,0.07638857908760732,0.0767019977014004,0.03949297946744442
logistic_regression,Logistic Regression,linear_baseline,global_class_output,medium,,,text,7.47313117980957,0.9343592651751855,0.8837516473317699,0.8841899060924862,0.05130915654663867
logistic_regression,Logistic Regression,linear_baseline,global_class_output,medium,,,type,0.11634735763072968,0.014546811632937673,0.0309231996493823,0.03103922025704254,0.015786927827427768
logistic_regression,Logistic Regression,linear_baseline,global_class_output,medium,,,language,0.09587723761796951,0.011987449856331227,0.008936574411288232,0.008065753465819569,0.005375501931081928
logistic_regression,Logistic Regression,linear_baseline,global_class_output,medium,,,queue,0.31277909874916077,0.03910650593943805,0.07638857908760732,0.0767019977014004,0.03949297946744442
logistic_regression,Logistic Regression,linear_baseline,global_class_output,high,,,text,8.279420852661133,0.8428595783217685,0.8837516473317699,0.8841899060924862,0.05130915654663867
logistic_regression,Logistic Regression,linear_baseline,global_class_output,high,,,type,0.4627566337585449,0.04710943774164636,0.0309231996493823,0.03103922025704254,0.015786927827427768
logistic_regression,Logistic Regression,linear_baseline,global_class_output,high,,,language,0.059804558753967285,0.006088209075262403,0.008936574411288232,0.008065753465819569,0.005375501931081928
logistic_regression,Logistic Regression,linear_baseline,global_class_output,high,,,queue,1.0210307836532593,0.10394272631846291,0.07638857908760732,0.0767019977014004,0.03949297946744442
linear_svm,Linear SVM,linear,global_class_output,low,,,text,4.185733795166016,0.8560826532699072,0.8688313271614739,0.8735619083883481,0.0474405797907142
linear_svm,Linear SVM,linear,global_class_output,low,,,type,0.14105086028575897,0.028848273834061695,0.03352565648429311,0.031086677774200513,0.015558272390486353
linear_svm,Linear SVM,linear,global_class_output,low,,,language,0.09677745401859283,0.019793303556146814,0.019528864655113384,0.015766674901181377,0.00826787944621686
linear_svm,Linear SVM,linear,global_class_output,low,,,queue,0.4658415913581848,0.09527574495873392,0.0781141532307071,0.07587202272807693,0.03150468791133562
linear_svm,Linear SVM,linear,global_class_output,medium,,,text,3.6622796058654785,0.9109734461211534,0.8688313271614739,0.8735619083883481,0.0474405797907142
linear_svm,Linear SVM,linear,global_class_output,medium,,,type,0.0817551389336586,0.020336175461105496,0.03352565648429311,0.031086677774200513,0.015558272390486353
linear_svm,Linear SVM,linear,global_class_output,medium,,,language,0.06692200899124146,0.016646509746132517,0.019528864655113384,0.015766674901181377,0.00826787944621686
linear_svm,Linear SVM,linear,global_class_output,medium,,,queue,0.20922619104385376,0.052043952069841845,0.0781141532307071,0.07587202272807693,0.03150468791133562
linear_svm,Linear SVM,linear,global_class_output,high,,,text,3.8873209953308105,0.8351728923937346,0.8688313271614739,0.8735619083883481,0.0474405797907142
linear_svm,Linear SVM,linear,global_class_output,high,,,type,0.22920620441436768,0.04924389031038756,0.03352565648429311,0.031086677774200513,0.015558272390486353
linear_svm,Linear SVM,linear,global_class_output,high,,,language,0.09677629917860031,0.02079193917796717,0.019528864655113384,0.015766674901181377,0.00826787944621686
linear_svm,Linear SVM,linear,global_class_output,high,,,queue,0.4412069320678711,0.09479126371140645,0.0781141532307071,0.07587202272807693,0.03150468791133562
complement_naive_bayes,Complement Naive Bayes,naive_bayes,global_class_output,low,,,text,103.8455810546875,0.8740457576546642,0.8700604846861205,0.8722565624571367,0.030596042755248066
complement_naive_bayes,Complement Naive Bayes,naive_bayes,global_class_output,low,,,type,5.005290508270264,0.04212844581493441,0.043265456384078485,0.04099716858004924,0.01191297920215585
complement_naive_bayes,Complement Naive Bayes,naive_bayes,global_class_output,low,,,language,2.760830879211426,0.023237315377974077,0.024288761302103938,0.01905944627960545,0.010179473723570337
complement_naive_bayes,Complement Naive Bayes,naive_bayes,global_class_output,low,,,queue,7.198532581329346,0.06058848917929748,0.06238528984619433,0.06203062167720297,0.015443423921816721
complement_naive_bayes,Complement Naive Bayes,naive_bayes,global_class_output,medium,,,text,103.89334869384766,0.8739828303482836,0.8700604846861205,0.8722565624571367,0.030596042755248066
complement_naive_bayes,Complement Naive Bayes,naive_bayes,global_class_output,medium,,,type,5.018074989318848,0.042213591507081066,0.043265456384078485,0.04099716858004924,0.01191297920215585
complement_naive_bayes,Complement Naive Bayes,naive_bayes,global_class_output,medium,,,language,2.76802921295166,0.023285513812353265,0.024288761302103938,0.01905944627960545,0.010179473723570337
complement_naive_bayes,Complement Naive Bayes,naive_bayes,global_class_output,medium,,,queue,7.1939873695373535,0.060518036253175346,0.06238528984619433,0.06203062167720297,0.015443423921816721
complement_naive_bayes,Complement Naive Bayes,naive_bayes,global_class_output,high,,,text,104.31380462646484,0.8746941555905025,0.8700604846861205,0.8722565624571367,0.030596042755248066
complement_naive_bayes,Complement Naive Bayes,naive_bayes,global_class_output,high,,,type,4.9961957931518555,0.041894198721873284,0.043265456384078485,0.04099716858004924,0.01191297920215585
complement_naive_bayes,Complement Naive Bayes,naive_bayes,global_class_output,high,,,language,2.7586307525634766,0.02313172456263114,0.024288761302103938,0.01905944627960545,0.010179473723570337
complement_naive_bayes,Complement Naive Bayes,naive_bayes,global_class_output,high,,,queue,7.1888322830200195,0.06027993711853015,0.06238528984619433,0.06203062167720297,0.015443423921816721
knn_cosine,kNN (cosine),instance_based,global_class_output,low,,,text,0.5280744433403015,0.6790517179137714,0.6537128576007674,0.6623060413520981,0.10089208271257473
knn_cosine,kNN (cosine),instance_based,global_class_output,low,,,type,0.0670565664768219,0.08622813930448317,0.092982694875842,0.08681377808548493,0.047744453006793725
knn_cosine,kNN (cosine),instance_based,global_class_output,low,,,language,0.053325753659009933,0.0685716665289599,0.06464177960965851,0.05466334498934189,0.0438964709268381
knn_cosine,kNN (cosine),instance_based,global_class_output,low,,,queue,0.1292078197002411,0.16614852894670565,0.18866266818446248,0.17047886752726865,0.09622528740278545
knn_cosine,kNN (cosine),instance_based,global_class_output,medium,,,text,0.7894985675811768,0.6883120500447422,0.6537128576007674,0.6623060413520981,0.10089208271257473
knn_cosine,kNN (cosine),instance_based,global_class_output,medium,,,type,0.09811113029718399,0.08553666339631191,0.092982694875842,0.08681377808548493,0.047744453006793725
knn_cosine,kNN (cosine),instance_based,global_class_output,medium,,,language,0.0749211236834526,0.06531881671705576,0.06464177960965851,0.05466334498934189,0.0438964709268381
knn_cosine,kNN (cosine),instance_based,global_class_output,medium,,,queue,0.18447592854499817,0.16083246984189012,0.18866266818446248,0.17047886752726865,0.09622528740278545
knn_cosine,kNN (cosine),instance_based,global_class_output,high,,,text,0.6685164570808411,0.6281405360662156,0.6537128576007674,0.6623060413520981,0.10089208271257473
knn_cosine,kNN (cosine),instance_based,global_class_output,high,,,type,0.10530030727386475,0.09894055824409444,0.092982694875842,0.08681377808548493,0.047744453006793725
knn_cosine,kNN (cosine),instance_based,global_class_output,high,,,language,0.06615907698869705,0.06216331347591768,0.06464177960965851,0.05466334498934189,0.0438964709268381
knn_cosine,kNN (cosine),instance_based,global_class_output,high,,,queue,0.22430261969566345,0.2107555712119931,0.18866266818446248,0.17047886752726865,0.09622528740278545
random_forest,Random Forest,bagging_ensemble,global_class_output,low,,,text,0.47576192021369934,0.871440730546507,0.8971094012689061,0.911720634773278,0.06034873787720086
random_forest,Random Forest,bagging_ensemble,global_class_output,low,,,type,0.0019559464417397976,0.0035826562061418423,0.004224444112343112,0.0035782736596888464,0.002871306524081385
random_forest,Random Forest,bagging_ensemble,global_class_output,low,,,language,0.0005801665829494596,0.0010626760348055064,0.0013004394729614198,0.0008740008032536088,0.0014115011204030071
random_forest,Random Forest,bagging_ensemble,global_class_output,low,,,queue,0.06765065342187881,0.12391394169047892,0.0973657061048954,0.08393485733698303,0.05936870322004064
random_forest,Random Forest,bagging_ensemble,global_class_output,medium,,,text,0.42854300141334534,0.9313479583622959,0.8971094012689061,0.911720634773278,0.06034873787720086
random_forest,Random Forest,bagging_ensemble,global_class_output,medium,,,type,0.002075575292110443,0.00451082576161303,0.004224444112343112,0.0035782736596888464,0.002871306524081385
random_forest,Random Forest,bagging_ensemble,global_class_output,medium,,,language,0.000687412335537374,0.0014939459357505064,0.0013004394729614198,0.0008740008032536088,0.0014115011204030071
random_forest,Random Forest,bagging_ensemble,global_class_output,medium,,,queue,0.028826046735048294,0.06264734154052458,0.0973657061048954,0.08393485733698303,0.05936870322004064
random_forest,Random Forest,bagging_ensemble,global_class_output,high,,,text,0.48342418670654297,0.8544969885360293,0.8971094012689061,0.911720634773278,0.06034873787720086
random_forest,Random Forest,bagging_ensemble,global_class_output,high,,,type,0.002106890780851245,0.00372412443753995,0.004224444112343112,0.0035782736596888464,0.002871306524081385
random_forest,Random Forest,bagging_ensemble,global_class_output,high,,,language,0.0005402498063631356,0.0009549415302108304,0.0013004394729614198,0.0008740008032536088,0.0014115011204030071
