feature_set,model,model_label,class_output,feature_group,absolute_shap_mass,share_of_total_abs_shap
FS5,lightgbm,LightGBM,low,text,3.19154953956604,0.8017180156451551
FS5,lightgbm,LightGBM,low,type,0.012437000870704651,0.0031241776243881108
FS5,lightgbm,LightGBM,low,language,0.00015767780132591724,3.960870179928148e-05
FS5,lightgbm,LightGBM,low,queue,0.7389305830001831,0.1856195410280161
FS5,lightgbm,LightGBM,low,sentiment,0.0378132201731205,0.009498690045860785
FS5,lightgbm,LightGBM,medium,text,2.2503156661987305,0.902332928016006
FS5,lightgbm,LightGBM,medium,type,0.0021286087576299906,0.0008535308186861102
FS5,lightgbm,LightGBM,medium,language,4.4304211769485846e-05,1.7765129457118077e-05
FS5,lightgbm,LightGBM,medium,queue,0.22319617867469788,0.08949733784048496
FS5,lightgbm,LightGBM,medium,sentiment,0.018201444298028946,0.0072984260716204225
FS5,lightgbm,LightGBM,high,text,2.741377830505371,0.7533713485984083
FS5,lightgbm,LightGBM,high,type,0.09350250661373138,0.02569587771559838
FS5,lightgbm,LightGBM,high,language,0.00026620019343681633,7.315576732802302e-05
FS5,lightgbm,LightGBM,high,queue,0.7613531351089478,0.20923115076440035
FS5,lightgbm,LightGBM,high,sentiment,0.04231336712837219,0.011628341815022517
FS5,lightgbm,LightGBM,predicted_class,text,2.5893783569335938,0.8233140303092097
FS5,lightgbm,LightGBM,predicted_class,type,0.03455238789319992,0.010986214377278479
FS5,lightgbm,LightGBM,predicted_class,language,8.944009459810331e-05,2.8438209718414626e-05
FS5,lightgbm,LightGBM,predicted_class,queue,0.49159055948257446,0.15630523971354
FS5,lightgbm,LightGBM,predicted_class,sentiment,0.02945699542760849,0.009366092661338435
