feature_set,model,model_label,class_output,rank,feature_index,feature_name,feature_label,feature_group,mean_abs_shap,share_of_total_abs_shap
FS5,lightgbm,LightGBM,low,1,15015,categorical__queue_Technical Support,Technical Support,queue,0.2520724833011627,0.06332066655158997
FS5,lightgbm,LightGBM,low,2,15010,categorical__queue_IT Support,IT Support,queue,0.22046275436878204,0.05538029596209526
FS5,lightgbm,LightGBM,low,3,15007,categorical__queue_Customer Service,Customer Service,queue,0.07891618460416794,0.019823765382170677
FS5,lightgbm,LightGBM,low,4,15011,categorical__queue_Product Support,Product Support,queue,0.04057253152132034,0.01019182987511158
FS5,lightgbm,LightGBM,low,5,15012,categorical__queue_Returns and Exchanges,Returns and Exchanges,queue,0.033503107726573944,0.008415988646447659
FS5,lightgbm,LightGBM,low,6,15008,categorical__queue_General Inquiry,General Inquiry,queue,0.032844994217157364,0.00825067050755024
FS5,lightgbm,LightGBM,low,7,15006,categorical__queue_Billing and Payments,Billing and Payments,queue,0.029185647144913673,0.00733144162222743
FS5,lightgbm,LightGBM,low,8,14048,text__char__ras,[char] ras,text,0.026635723188519478,0.006690900307148695
FS5,lightgbm,LightGBM,low,9,13946,text__char__plat,[char] plat,text,0.025298280641436577,0.006354934070259333
FS5,lightgbm,LightGBM,low,10,11872,text__char__ache ,[char] ache ,text,0.025222059339284897,0.0063357874751091
FS5,lightgbm,LightGBM,low,11,15014,categorical__queue_Service Outages and Maintenance,Service Outages and Maintenance,queue,0.021698826923966408,0.0054507507011294365
FS5,lightgbm,LightGBM,low,12,13489,text__char__mme,[char] mme,text,0.01901497319340706,0.004776565823704004
FS5,lightgbm,LightGBM,low,13,14815,text__char__usf,[char] usf,text,0.017974957823753357,0.004515313543379307
FS5,lightgbm,LightGBM,low,14,15016,sentiment__sentiment_negative,sentiment_negative,sentiment,0.01651388593018055,0.004148292355239391
FS5,lightgbm,LightGBM,low,15,12581,text__char__em ,[char] em ,text,0.015977194532752037,0.004013475030660629
FS5,lightgbm,LightGBM,low,16,15009,categorical__queue_Human Resources,Human Resources,queue,0.015648741275072098,0.003930967766791582
FS5,lightgbm,LightGBM,low,17,8648,text__word__server,server,text,0.015445836819708347,0.003879997879266739
FS5,lightgbm,LightGBM,low,18,11684,text__char__ sl,[char]  sl,text,0.015196206048130989,0.003817290533334017
FS5,lightgbm,LightGBM,low,19,2937,text__word__downtime,downtime,text,0.014883344992995262,0.003738699946552515
FS5,lightgbm,LightGBM,low,20,14587,text__char__tform,[char] tform,text,0.014353320002555847,0.0036055573727935553
FS5,lightgbm,LightGBM,low,21,15013,categorical__queue_Sales and Pre-Sales,Sales and Pre-Sales,queue,0.014025310054421425,0.003523161169141531
FS5,lightgbm,LightGBM,low,22,13949,text__char__ple ,[char] ple ,text,0.013766349293291569,0.0034581103827804327
FS5,lightgbm,LightGBM,low,23,11695,text__char__ spo,[char]  spo,text,0.013661621138453484,0.0034318026155233383
FS5,lightgbm,LightGBM,low,24,14623,text__char__tisc,[char] tisc,text,0.013600594364106655,0.0034164725802838802
FS5,lightgbm,LightGBM,low,25,12469,text__char__eat,[char] eat,text,0.01330212876200676,0.003341497853398323
FS5,lightgbm,LightGBM,low,26,2189,text__word__customer,customer,text,0.013195102103054523,0.0033146128989756107
