model,model_label,model_family,scope,top_5_share_mean,top_5_share_median,top_5_share_std,top_10_share_mean,top_10_share_median,top_10_share_std,top_20_share_mean,top_20_share_median,top_20_share_std,k_50_mean,k_50_median,k_50_std,k_80_mean,k_80_median,k_80_std,k_90_mean,k_90_median,k_90_std,normalized_entropy_mean,normalized_entropy_median,normalized_entropy_std,nonzero_shap_features_mean,nonzero_shap_features_median,nonzero_shap_features_std,available_features_mean,available_features_median,available_features_std
complement_naive_bayes,Complement Naive Bayes,naive_bayes,active_features,0.2687086041141196,0.23540465372266828,0.13273078129963842,0.4087354084169707,0.37334666094086866,0.1630649777404771,0.565628733457107,0.5384190735823418,0.17287354433404803,20.436666666666667,17.5,12.912853862403727,59.303333333333335,52.5,35.54371733083834,81.47,71.5,46.293477440258314,0.8944049883360988,0.9022418212963919,0.039095599461991364,121.59333333333333,109.0,64.42958840285594,121.59333333333333,109.0,64.42958840285594
complement_naive_bayes,Complement Naive Bayes,naive_bayes,full_attribution,0.1196108928237369,0.11572269458357606,0.030528657922405486,0.1881533894545545,0.18401527941790136,0.03875609748191526,0.2762324860628751,0.277087556125939,0.04211666129941546,109.98,96.5,55.25840422468054,1117.3133333333333,1118.0,211.71535875477818,1960.92,1967.0,168.92859388740527,0.6924341498502157,0.6931953668740023,0.013345487213416714,3719.1833333333334,3717.0,9.921584973354907,15016.0,15016.0,0.0
knn_cosine,kNN (cosine),instance_based,active_features,0.5331504362060109,0.5269247780980558,0.1635049843530817,0.6761691612947047,0.6758369692273518,0.15299153657091538,0.8106058745607246,0.825869071248346,0.12406910494581345,6.09,5.0,4.183328114517481,21.326666666666668,18.0,13.672469062185156,33.96333333333333,30.0,19.539908280429078,0.6643290688661679,0.6800709499749025,0.09665509588844577,121.59333333333333,109.0,64.42958840285594,121.59333333333333,109.0,64.42958840285594
knn_cosine,kNN (cosine),instance_based,full_attribution,0.30890007068730474,0.30082040499237717,0.07825693619057592,0.42384173882925497,0.4123961867765066,0.0829528288812205,0.5498028642522755,0.5477778119860048,0.07873463849272647,16.93,16.0,7.095038070186187,73.56666666666666,72.0,19.573689482450845,106.75333333333333,106.0,23.114354851973815,0.45646607010552526,0.45930229966957903,0.034188430437320796,692.6066666666667,685.5,43.09069484427886,15016.0,15016.0,0.0
lightgbm,LightGBM,gradient_boosting,active_features,0.649910073665898,0.6483097761193152,0.14299002473516204,0.7960060065566423,0.804627998523658,0.11929385980342486,0.9083097488525507,0.9247581464557897,0.07852159531619278,3.72,3.0,2.0855290547309786,11.68,10.0,6.80184905019747,19.433333333333334,17.0,11.122857039355877,0.5727451468716902,0.5782192169815932,0.09098537883321056,92.03666666666666,82.0,47.932247217295064,121.59333333333333,109.0,64.42958840285594
lightgbm,LightGBM,gradient_boosting,full_attribution,0.3451884072407438,0.34427459834526897,0.09057640954609082,0.43883263910693093,0.44350583215525397,0.09139347297528722,0.5225967707573308,0.5279171545649523,0.09046072826616758,26.54,16.0,32.55263399378167,358.43,313.0,183.37019166330023,844.0233333333333,798.0,244.7919247243593,0.5507064070825753,0.5484325216575553,0.05425778633609575,3485.7533333333336,3514.5,150.37687044924652,15016.0,15016.0,0.0
linear_svm,Linear SVM,linear,active_features,0.3990888594047742,0.36963222930272577,0.142393595858346,0.5548225806489303,0.5300570650426466,0.14857514020075369,0.7069637413866282,0.7011544572617967,0.1384302978652393,10.24,9.0,5.579681246215107,35.75333333333333,31.0,20.846448224276646,56.78,50.0,32.159275437352726,0.7949603287573597,0.8053006781994199,0.050756215521068154,121.59333333333333,109.0,64.42958840285594,121.59333333333333,109.0,64.42958840285594
linear_svm,Linear SVM,linear,full_attribution,0.18961108301184873,0.18544318745008606,0.04265898333051495,0.2740285554109414,0.27175417071150687,0.045007214572111265,0.36171814426202914,0.35774191431457214,0.04465851762866508,71.22,64.0,34.350129129851304,702.84,689.0,130.29200957540456,1317.1,1310.0,127.56776676361807,0.648063855677274,0.6477673213934405,0.02132933760339893,3719.1833333333334,3717.0,9.921584973354907,15016.0,15016.0,0.0
logistic_regression,Logistic Regression,linear_baseline,active_features,0.39413640216598844,0.3620225399291168,0.14222743570424692,0.5472369902506119,0.5285322875868813,0.1499734958732067,0.6991772513460641,0.688668028777107,0.14109845481892289,10.566666666666666,9.0,5.824543465155058,37.08,32.0,21.66760756039542,58.09,51.0,32.682038166691775,0.7988922981120948,0.8074289856447172,0.05077904624208337,121.59333333333333,109.0,64.42958840285594,121.59333333333333,109.0,64.42958840285594
logistic_regression,Logistic Regression,linear_baseline,full_attribution,0.18663634680734378,0.18319896805115107,0.04484433511248355,0.2656860226992515,0.26144756033352523,0.047383978322971816,0.3498983182796108,0.34790385150184855,0.04811303978253876,81.21666666666667,69.0,43.17232006298663,720.8966666666666,705.5,141.15749164336162,1337.25,1327.5,136.70237487936643,0.6531105815163222,0.6510572106422595,0.023818769323735584,3719.1833333333334,3717.0,9.921584973354907,15016.0,15016.0,0.0
random_forest,Random Forest,bagging_ensemble,active_features,0.27807223405141746,0.2339201722313949,0.15426313830278798,0.3986714074092573,0.35612049038216814,0.17241964518723626,0.5632815286684557,0.537998681543919,0.17922362034294184,19.69,18.0,11.410282577350282,49.20333333333333,45.0,25.721208969611393,66.37666666666667,61.5,34.075974365900485,0.8593564242492203,0.8828243405131615,0.06997846282241368,113.50666666666666,102.0,59.34522847456129,121.59333333333333,109.0,64.42958840285594
random_forest,Random Forest,bagging_ensemble,full_attribution,0.1315729469349736,0.11893791624399219,0.05366968737256974,0.19155096262422933,0.1843538325857711,0.05952354076025851,0.2750537913033499,0.2691859105201881,0.06312308264785127,81.96666666666667,81.0,24.64433741811999,475.20666666666665,461.5,134.8014170140118,934.3566666666667,916.0,243.26288707826848,0.6505514293699579,0.6510302553372094,0.025724312050715608,3712.5266666666666,3788.5,708.8198935039692,15016.0,15016.0,0.0
xgboost,XGBoost,gradient_boosting,active_features,0.6200232367769127,0.6017555452566781,0.18559910342387775,0.7710568639420448,0.7786067978236975,0.16032336347412662,0.9041390318777093,0.9438188862264358,0.10669297231709818,4.4366666666666665,4.0,3.064412554345938,13.08,11.0,8.422394101918217,18.936666666666667,16.5,11.687084697132498,0.5470482805079812,0.5702040772821786,0.12181953935137656,44.78,39.0,24.999229419562237,121.59333333333333,109.0,64.42958840285594
xgboost,XGBoost,gradient_boosting,full_attribution,0.33101624537161195,0.323467326594435,0.0782276321631543,0.4286487273938967,0.4248664742123256,0.06936033456952895,0.5345437177534141,0.5378495191775472,0.06157331319779348,17.56,16.0,7.643809657949138,114.71,108.0,33.40957796299665,230.55333333333334,224.5,45.404025968365474,0.4898868560073611,0.49201960185820504,0.033507824100818595,802.1733333333333,801.0,22.850758106512846,15016.0,15016.0,0.0
