category,check,expected,observed,status,detail
data,raw records,28587,28587,PASS,
data,prepared records,28551,28551,PASS,
data,excluded records,36,36,PASS,
data,semantic groups,20825,20825,PASS,
data,raw SHA-256,f187c090e59581c2bbf3aa1377c8db4dd647464ecf2ae51bf8966e42e0ed6bc0,f187c090e59581c2bbf3aa1377c8db4dd647464ecf2ae51bf8966e42e0ed6bc0,PASS,
data,priority class counts,"{'low': 5883, 'medium': 11504, 'high': 11164}","{'medium': 11504, 'high': 11164, 'low': 5883}",PASS,
data,exact groups nested in semantic groups,1,1,PASS,
data,source-row mapping valid,True,True,PASS,
data,language-label corrections,3330,3330,PASS,
split,row order matches prepared data,True,True,PASS,
split,semantic IDs match prepared data,True,True,PASS,
split,exact IDs match prepared data,True,True,PASS,
split,training records,22842,22842,PASS,
split,training groups,16661,16661,PASS,
split,hold-out records,5709,5709,PASS,
split,hold-out groups,4164,4164,PASS,
split,semantic-group overlap,0,0,PASS,
split,exact-text-group overlap,0,0,PASS,
modeling,script_build,2026-08-16_final_comparative_common_feature_selection_v1,2026-08-16_final_comparative_common_feature_selection_v1,PASS,
modeling,run_id,final_comparative_common_feature_selection_v1,final_comparative_common_feature_selection_v1,PASS,
modeling,data_sha256,930d6819d8d0f15795aaadc5344dc8346aab1079925d1d819f88ca85da587a49,930d6819d8d0f15795aaadc5344dc8346aab1079925d1d819f88ca85da587a49,PASS,
modeling,prepared_records,28551,28551,PASS,
modeling,semantic_groups,20825,20825,PASS,
modeling,training_records,22842,22842,PASS,
modeling,training_semantic_groups,16661,16661,PASS,
modeling,holdout_records,5709,5709,PASS,
modeling,holdout_semantic_groups,4164,4164,PASS,
modeling,group_column,semantic_group_id,semantic_group_id,PASS,
modeling,exact_group_column,text_group_id,text_group_id,PASS,
modeling,strict_data_freeze,True,True,PASS,
modeling,holdout_scored_in_modeling,False,False,PASS,
modeling,holdout_used_for_parameter_tuning,False,False,PASS,
modeling,holdout_used_for_model_selection,False,False,PASS,
modeling,holdout_used_for_preprocessing,False,False,PASS,
modeling,holdout_used_for_fitted_preprocessing,False,False,PASS,
modeling,classifier order,"['logistic_regression', 'linear_svm', 'complement_naive_bayes', 'knn_cosine', 'random_forest', 'xgboost', 'lightgbm']","['logistic_regression', 'linear_svm', 'complement_naive_bayes', 'knn_cosine', 'random_forest', 'xgboost', 'lightgbm']",PASS,
modeling,CV-selected common feature set,FS4,FS4,PASS,
modeling,common-set selection hold-out used,False,False,PASS,
modeling,one common feature set selected,1,1,PASS,
modeling,selection-table common feature set,FS4,FS4,PASS,
modeling,feature-selection row: FS4,1,1,PASS,
modeling,mean CV Macro-F1 across models: FS4,0.5123371454393102,0.5123371454393102,PASS,atol=1e-10
modeling,mean CV Weighted-F1 across models: FS4,0.5365760992694654,0.5365760992694654,PASS,atol=1e-10
